iter	Passed	Remaining
435	3950	5109
436	3957	5099
437	3970	5094
438	3977	5083
439	3988	5075
440	4001	5072
441	4013	5066
442	4019	5053
443	4030	5046
444	4043	5043
445	4046	5026
446	4059	5021
447	4068	5012
448	4079	5006
449	4092	5001
450	4101	4993
451	4107	4980
452	4117	4971
453	4124	4960
454	4137	4955
455	4151	4952
456	4160	4943
457	4167	4931
458	4173	4919
459	4182	4909
460	4192	4902
461	4203	4895
462	4209	4882
463	4221	4876
464	4226	4863
465	4240	4859
466	4244	4844
467	4259	4841
468	4263	4827
469	4272	4817
470	4282	4810
471	4288	4796
472	4296	4786
473	4305	4777
474	4309	4762
475	4319	4755
476	4326	4743
477	4336	4735
478	4347	4729
479	4354	4717
480	4363	4708
481	4376	4703
482	4378	4686
483	4385	4675
484	4394	4666
485	4404	4658
486	4412	4647
487	4422	4639
488	4429	4629
489	4432	4613
490	4441	4604
491	4445	4589
492	4451	4577
493	4461	4569
494	4466	4556
495	4478	4550
496	4483	4537
497	4490	4526
498	4495	4513
499	4499	4499
500	4510	4492
501	4517	4481
502	4524	4470
503	4532	4460
504	4537	4447
505	4548	4440
506	4552	4426
507	4561	4417
508	4569	4407
509	4581	4401
510	4592	4395
511	4598	4382
512	4609	4376
513	4618	4367
514	4627	4357
515	4640	4352
516	4648	4343
517	4659	4335
518	4673	4330
519	4687	4326
520	4693	4315
521	4701	4304
522	4707	4293
523	4717	4285
524	4721	4271
525	4732	4264
526	4736	4251
527	4745	4241
528	4747	4226
529	4749	4212
530	4753	4198
531	4763	4190
532	4782	4190
533	4788	4178
534	4797	4170
535	4802	4157
536	4814	4151
537	4817	4137
538	4828	4129
539	4831	4116
540	4842	4108
541	4851	4099
542	4864	4093
543	4875	4086
544	4877	4071
545	4889	4065
546	4892	4052
547	4902	4043
548	4907	4031
549	4916	4022
550	4922	4010
551	4930	4001
552	4933	3988
553	4936	3974
554	4943	3963
555	4950	3953
556	4954	3940
557	4959	3928
558	4975	3924
559	4979	3912
560	4988	3903
561	4994	3892
562	5007	3886
563	5016	3878
564	5021	3866
565	5030	3857
566	5035	3845
567	5045	3837
568	5054	3828
569	5058	3815
570	5063	3804
571	5071	3794
572	5080	3785
573	5088	3776
574	5096	3766
575	5102	3756
576	5111	3747
577	5115	3734
578	5126	3727
579	5131	3715
580	5138	3705
581	5145	3695
582	5151	3684
583	5159	3675
584	5165	3664
585	5177	3657
586	5183	3647
587	5192	3638
588	5199	3628
589	5206	3618
590	5215	3609
591	5220	3597
592	5231	3590
593	5242	3582
594	5249	3573
595	5260	3565
596	5269	3556
597	5272	3544
598	5282	3536
599	5287	3524
600	5291	3512
601	5302	3505
602	5310	3496
603	5316	3485
604	5323	3475
605	5329	3464
606	5341	3458
607	5350	3449
608	5354	3437
609	5363	3429
610	5368	3418
611	5612	5369	612	5380	3396
613	5389	3388
614	5615	5393	615	5616	5401	616	5617	5412	617	5423	3352
618	5432	3343
619	5438	3333
620	5621	5441	621	5622	5449	622	5623	5459	3289
624	5469	624	5625	5472	625	5626	5481	626	5627	5489	627	5628	5495	628	5629	5504	629	5630	5515	3225
631	5522	631	5632	5531	3207
633	5542	3199
634	5553	3192
635	5561	3182
636	5570	3174
637	5580	3166
638	5585	3155
639	5590	3144
640	5592	640	5641	5601	641	5642	5614	3117
643	5621	3107
644	5627	3097
645	5632	645	5646	5641	646	5647	5648	647	5648	5657	648	5649	5670	649	5650	5676	3043
651	5687	3035
652	5692	3024
653	5701	3016
654	5712	3008
655	5716	2997
656	5726	2989
657	5731	2978
658	5736	2968
659	5748	2961
660	5760	2954
661	5767	2944
662	5771	2933
663	5776	2922
664	5790	2917
665	5798	2908
666	5803	2897
667	5813	2889
668	5820	2879
669	5830	669	5670	5846	670	5671	5854	2857
672	5862	672	5673	5873	2840
674	5878	674	5675	5888	2822
676	5899	2814
677	5902	2803
678	5907	2792
679	5917	2784
680	5921	680	5681	5925	681	5682	5938	682	5683	5946	683	5954	2751
684	5685	5971	685	5984	2739
686	5687	5992	687	5688	6006	688	6689	6011	689	6690	6024	2694
691	6039	2688
692	6052	2681
693	6062	2672
694	6068	2663
695	6080	2656
696	6094	2649
697	6103	2640
698	6112	2632
699	6129	2627
700	6133	2616
701	6143	2608
702	6151	2598
703	6161	2590
704	6170	2582
705	6175	2571
706	6186	2563
707	6195	2555
708	6197	2543
709	6201	2533
710	6212	2525
711	6219	2515
712	6230	2507
713	6239	2499
714	6244	2489
715	6251	2479
716	6255	2469
717	6267	2461
718	6271	2450
719	6282	2443
720	6287	2433
721	6299	2425
722	6307	2416
723	6312	2406
724	6322	2398
725	6325	2387
726	6332	2377
727	6337	2367
728	6348	2359
729	6357	2351
730	6362	2341
731	6372	2332
732	6378	2323
733	6385	2314
734	6391	2304
735	6400	2295
736	6408	2287
737	6416	2277
738	6427	2269
739	6435	2261
740	6441	2251
741	6448	2242
742	6453	2232
743	6462	2223
744	6469	2214
745	6473	2204
746	6487	2197
747	6495	2188
748	6503	2179
749	6513	2171
750	6520	2161
751	6535	2155
752	6538	2144
753	6541	2134
754	6551	2126
755	6561	2117
756	6567	2108
757	6577	2099
758	6589	2092
759	6593	2082
760	6595	2071
761	6601	2062
762	6613	2054
763	6622	2045
764	6629	2036
765	6639	2028
766	6643	2018
767	6651	2009
768	6656	1999
769	6665	1991
770	6672	1981
771	6682	1973
772	6692	1965
773	6703	1957
774	6706	1946
775	6716	1938
776	6722	1929
777	6730	1920
778	6736	1911
779	6750	1903
780	6761	1895
781	6767	1886
782	6774	1877
783	6780	1868
784	6792	1860
785	6801	1851
786	6808	1842
787	6821	1835
788	6825	1825
789	6836	1817
790	6844	1808
791	6851	1799
792	6863	1791
793	6872	1783
794	6879	1773
795	6892	1766
796	6898	1757
797	6906	1748
798	6915	1739
799	6922	1730
800	6933	1722
801	6937	1712
802	6950	1705
803	6960	1696
804	6967	1687
805	6976	1679
806	6984	1670
807	6991	1661
808	7003	1653
809	7009	1644
810	7014	1634
811	7024	1626
812	7032	1617
813	7041	1609
814	7047	1599
815	7055	1590
816	7063	1582
817	7071	1573
818	7081	1564
819	7093	1557
820	7096	1547
821	7098	1537
822	7108	1528
823	7115	1519
824	7129	1512
825	7146	1505
826	7157	1497
827	7160	1487
828	7169	1478
829	7175	1469
830	7185	1461
831	7191	1452
832	7200	1443
833	7205	1434
834	7215	1425
835	7223	1417
836	7228	1407
837	7239	1399
838	7250	1391
839	7265	1383
840	7279	1376
841	7294	1368
842	7301	1359
843	7313	1351
844	7322	1343
845	7329	1334
846	7337	1325
847	7342	1316
848	7352	1307
849	7358	1298
850	7369	1290
851	7380	1281
852	7386	1272
853	7395	1264
854	7399	1254
855	7414	1247
856	7420	1238
857	7432	1230
858	7441	1221
859	7446	1212
860	7455	1203
861	7463	1194
862	7469	1185
863	7481	1177
864	7487	1168
865	7498	1160
866	7506	1151
867	7511	1142
868	7521	1133
869	7526	1124
870	7533	1115
871	7537	1106
872	7540	1096
873	7552	1088
874	7562	1080
875	7567	1071
876	7579	1063
877	7589	1054
878	7593	1045
879	7605	1037
880	7613	1028
881	7622	1019
882	7636	1011
883	7645	1003
884	7650	994
885	7658	985
886	7664	976
887	7673	967
888	7683	959
889	7690	950
890	7697	941
891	7702	932
892	7713	924
893	7723	915
894	7730	906
895	7741	898
896	7745	889
897	7754	880
898	7758	871
899	7768	863
900	7776	854
901	7783	845
902	7791	836
903	7796	827
904	7804	819
905	7812	810
906	7820	801
907	7831	793
908	7840	784
909	7853	776
910	7858	767
911	7867	759
912	7873	750
913	7882	741
914	7887	732
915	7895	724
916	7898	714
917	7903	705
918	7911	697
919	7922	688
920	7930	680
921	7936	671
922	7949	663
923	7955	654
924	7961	645
925	7969	636
926	7980	628
927	7985	619
928	7987	610
929	7997	601
930	8000	592
931	8015	584
932	8020	575
933	8028	567
934	8035	558
935	8040	549
936	8049	541
937	8059	532
938	8062	523
939	8068	514
940	8075	506
941	8083	497
942	8090	489
943	8101	480
944	8112	472
945	8115	463
946	8121	454
947	8128	445
948	8137	437
949	8143	428
950	8151	420
951	8161	411
952	8164	402
953	8170	393
954	8177	385
955	8187	376
956	8198	368
957	8205	359
958	8213	351
959	8218	342
960	8234	334
961	8239	325
962	8247	316
963	8253	308
964	8274	300
965	8281	291
966	8291	282
967	8299	274
968	8306	265
969	8315	257
970	8323	248
971	8327	239
972	8331	231
973	8344	222
974	8355	214
975	8364	205
976	8370	197
977	8375	188
978	8383	179
979	8390	171
980	8401	162
981	8406	154
982	8417	145
983	8430	137
984	8441	128
985	8445	119
986	8448	111
987	8458	102
988	8463	94
989	8470	85
990	8477	76
991	8485	68
992	8492	59
993	8495	51
994	8497	42
995	8502	34
996	8505	25
997	8508	17
998	8511	8
999	8514	0
17
998	8999	86999	8622	0
	8
999	8680	0
